ndb,tree,cubeSize,output,length,branch
157,0,0,1,4,0.4.A
157,0,0,2,4,0.3R.B
157,0,0,3,4,0.3R.A
157,0,0,4,4,0.2R.B
157,0,0,5,4,0.2R.A
157,0,0,6,4,0.1R.B
157,0,0,7,4,0.1R.A
157,0,0,8,4,0.0.B
157,0,0,9,4,0.0.A
157,0,0,10,4,0.1L.B
157,0,0,11,4,0.1L.A
157,0,0,12,4,0.2L.B
157,0,0,13,4,0.2L.A
157,0,0,14,4,0.3L.B
157,0,0,15,4,0.3L.A
157,0,0,16,4,0.4.B
151,1,0,1,4,0.4.A
151,1,0,2,4,0.3R.B
151,1,0,3,4,0.3R.A
151,1,0,4,4,0.2R.B
151,1,0,5,4,0.2R.A
151,1,0,6,4,0.1R.B
151,1,0,7,4,0.1R.A
151,1,0,8,4,0.0.B
151,1,0,9,4,0.0.A
151,1,0,10,4,0.1L.B
151,1,0,11,4,0.1L.A
151,1,0,12,4,0.2L.B
151,1,0,13,4,0.2L.A
151,1,0,14,4,0.3L.B
151,1,0,15,4,0.3L.A
151,1,0,16,4,0.4.B