ndb,tree,output,length,branch
110,m,1,7,1.2R.B
110,m,2,10,0.3R.B
110,m,3,6,1.2L.A
110,m,4,5,1.0.A
110,m,5,6,2.4.a
110,m,6,10,0.2R.A
110,m,7,6,2.2R.A
110,m,8,5,2.2R.B
110,m,9,8,1.2L.B
131,s,1,7,0.2L.A
131,s,2,6,0.0.B
131,s,3,6,0.1R.B
131,s,4,7,0.2R.A
131,s,5,5,0.1R.A
131,s,6,5,1.2R.A
131,s,7,5,1.2L.A
131,s,8,6,1.2L.B
131,s,9,4,1.0.A
131,s,10,0,
131,s,11,7,1.4.B
131,s,12,4,1.0.B
131,s,13,4,1.4.A
131,s,14,6,1.2R.B
184,s,1,9,0.3R.A
184,s,2,8,0.4.A
184,s,3,7,0.3L.B
184,s,4,7,0.3L.A
184,s,5,7,1.2R.A
184,s,6,7,0.4.B
184,s,7,9,0.3R.A
184,s,8,6,0.1L.B
184,s,9,6,0.0.A
184,s,10,7,0.2L.B
184,s,11,7,0.1L.A
179,m,1,7,1.4.A
179,m,2,5,0.0.A
179,m,3,7,0.1R.B
179,m,4,10,0.2L.A
179,m,5,9,1.4.B
179,m,6,4,2.0.A
179,m,7,6,0.1R.A
179,m,8,4,2.2L.B
179,m,9,6,0.1L.B
179,m,10,5,2.0.B
179,m,11,5,0.0.B
179,m,12,10,0.4.B
179,m,13,4,2.2L.A
111,l,1,13,0.4.A
111,l,2,13,0.3L.B
111,l,3,14,0.3L.A
111,l,4,10,0.2L.B
111,l,5,9,0.3R.A
111,l,6,8,0.2R.A
111,l,7,7,0.1L.B
112,l,1,7,0.0.A
112,l,2,7,0.0.B
112,l,3,10,0.3R.B
112,l,4,8,0.2L.B
112,l,5,10,0.1R.A
112,l,6,9,0.2R.B
112,l,7,10,0.1R.B
112,l,8,15,0.4.B
121,l,1,7,1.2R.B
121,l,2,10,1.4.B
121,l,3,5,1.0.B
121,l,4,9,1.4.A
121,l,5,6,1.2L.B
121,l,6,9,1.2R.A
121,l,7,6,1.2L.A
121,l,8,8,0.1L.A
122,l,1,6,2.3L.A
122,l,2,3,2.1L.A
122,l,3,4,2.1R.A
122,l,4,7,2.3R.B
122,l,5,7,2.3L.B
122,l,6,4,2.1R.B
122,l,7,7,2.3R.B
199,m,1,7,0.2L.B
199,m,2,6,2.4.B
199,m,3,5,1.0.B
199,m,4,7,0.1L.A
199,m,5,7,0.2R.B
199,m,6,8,0.3L.A
199,m,7,11,0.4.A
199,m,8,10,0.3L.B
199,m,9,7,1.2R.A
199,m,10,9,0.3R.A